timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1.46E+12,57,Output Initial Configuration,200,no_rates,CalcStorm - Lincoln tests 1-1,text,TRUE,1707,1,1,0
1.46E+12,226,Read ProductType import data from file,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,18815,1,1,0
1.46E+12,27,Read Product import data from file,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,116262,1,1,0
1.46E+12,807,Drop DB,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,351,1,1,807
1.46E+12,1143,Product Type Create,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,781,1,1,1143
1.46E+12,590,Product Type Import XLSX,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,19268,1,1,449
1.46E+12,165,Create Supplier,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,831,1,1,165
1.46E+12,150,Create Product ,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,694,1,1,150
1.46E+12,155,Create Product Version,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,873,1,1,155
1.46E+12,894,Product Type Import XLSX,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,116702,1,1,468
1.46E+12,163,Create Product Version,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1115,1,1,163
1.46E+12,161,Update Product Version,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1135,1,1,161
1.46E+12,305,[TEST] Get Quote - 1 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,TRUE,873,1,1,285
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137227,1,1,0
1.46E+12,319,[TEST] Get Quote - 2 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,871,1,1,319
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137233,1,1,0
1.46E+12,309,[TEST] Get Quote - 3 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,871,1,1,309
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137235,1,1,0
1.46E+12,316,[TEST] Get Quote - 4 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,872,1,1,316
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137229,1,1,0
1.46E+12,310,[TEST] Get Quote - 5 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,871,1,1,310
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137229,1,1,0
1.46E+12,314,[TEST] Get Quote - 6 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1546,1,1,314
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137237,1,1,0
1.46E+12,310,[TEST] Get Quote - 7 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1539,1,1,310
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137238,1,1,0
1.46E+12,321,[TEST] Get Quote - 8 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1539,1,1,321
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137235,1,1,0
1.46E+12,306,[TEST] Get Quote - 9 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1525,1,1,306
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137233,1,1,0
1.46E+12,315,[TEST] Get Quote - 10 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1537,1,1,315
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137242,1,1,0
1.46E+12,332,[TEST] Get Quote - 11 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1546,1,1,332
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137239,1,1,0
1.46E+12,316,[TEST] Get Quote - 12 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1539,1,1,316
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137234,1,1,0
1.46E+12,589,[TEST] Get Quote - 13 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1528,1,1,589
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137233,1,1,0
1.46E+12,320,[TEST] Get Quote - 14 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1538,1,1,320
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137243,1,1,0
1.46E+12,326,[TEST] Get Quote - 15 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1538,1,1,326
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137242,1,1,0
1.46E+12,1711,[TEST] Get Quote - 16 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1543,1,1,1710
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137231,1,1,0
1.46E+12,309,[TEST] Get Quote - 17 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1529,1,1,309
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137231,1,1,0
1.46E+12,312,[TEST] Get Quote - 18 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1537,1,1,312
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137240,1,1,0
1.46E+12,319,[TEST] Get Quote - 19 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1539,1,1,319
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137243,1,1,0
1.46E+12,310,[TEST] Get Quote - 20 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1535,1,1,309
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137238,1,1,0
1.46E+12,826,[TEST] Get Quote - 21 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,873,1,1,826
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137231,1,1,0
1.46E+12,305,[TEST] Get Quote - 22 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,871,1,1,304
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137234,1,1,0
1.46E+12,318,[TEST] Get Quote - 23 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,871,1,1,318
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137236,1,1,0
1.46E+12,307,[TEST] Get Quote - 24 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,872,1,1,306
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137232,1,1,0
1.46E+12,307,[TEST] Get Quote - 25 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,871,1,1,307
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137232,1,1,0
1.46E+12,3396,[TEST] Get Quote - 26 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1549,1,1,3396
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137240,1,1,0
1.46E+12,310,[TEST] Get Quote - 27 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1541,1,1,310
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137240,1,1,0
1.46E+12,297,[TEST] Get Quote - 28 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1543,1,1,297
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137236,1,1,0
1.46E+12,300,[TEST] Get Quote - 29 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1525,1,1,300
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137233,1,1,0
1.46E+12,311,[TEST] Get Quote - 30 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1539,1,1,311
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137243,1,1,0
1.46E+12,316,[TEST] Get Quote - 31 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1548,1,1,316
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137240,1,1,0
1.46E+12,3333,[TEST] Get Quote - 32 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1545,1,1,3333
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137238,1,1,0
1.46E+12,311,[TEST] Get Quote - 33 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1532,1,1,311
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137237,1,1,0
1.46E+12,314,[TEST] Get Quote - 34 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1540,1,1,314
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137244,1,1,0
1.46E+12,314,[TEST] Get Quote - 35 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1538,1,1,314
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137243,1,1,0
1.46E+12,342,[TEST] Get Quote - 36 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1552,1,1,341
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137236,1,1,0
1.46E+12,319,[TEST] Get Quote - 37 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1529,1,1,319
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137232,1,1,0
1.46E+12,305,[TEST] Get Quote - 38 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1543,1,1,305
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137244,1,1,0
1.46E+12,308,[TEST] Get Quote - 39 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1538,1,1,308
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137242,1,1,0
1.46E+12,310,[TEST] Get Quote - 40 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1540,1,1,310
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137237,1,1,0
1.46E+12,308,[TEST] Get Quote - 41 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,873,1,1,308
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137230,1,1,0
1.46E+12,304,[TEST] Get Quote - 42 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,871,1,1,304
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137235,1,1,0
1.46E+12,310,[TEST] Get Quote - 43 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,871,1,1,310
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137236,1,1,0
1.46E+12,294,[TEST] Get Quote - 44 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,872,1,1,293
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137230,1,1,0
1.46E+12,305,[TEST] Get Quote - 45 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,871,1,1,305
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137230,1,1,0
1.46E+12,297,[TEST] Get Quote - 46 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1548,1,1,297
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137239,1,1,0
1.46E+12,302,[TEST] Get Quote - 47 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1540,1,1,302
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137239,1,1,0
1.46E+12,299,[TEST] Get Quote - 48 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1541,1,1,299
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137234,1,1,0
1.46E+12,301,[TEST] Get Quote - 49 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1524,1,1,301
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137233,1,1,0
