timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1461320974624,12,Read ProductType import data from file,200,OK,CalcStorm - Lincoln tests 1-1,text,true,18815,1,1,0
1461320974637,16,Read Product import data from file,200,OK,CalcStorm - Lincoln tests 1-1,text,true,116262,1,1,0
1461320975160,414,Drop DB,200,OK,CalcStorm - Lincoln tests 1-1,text,true,351,1,1,414
1461320976076,989,Product Type Create,200,OK,CalcStorm - Lincoln tests 1-1,text,true,781,1,1,989
1461320977567,548,Product Type Import XLSX,200,OK,CalcStorm - Lincoln tests 1-1,text,true,19268,1,1,409
1461320978616,146,Create Supplier,200,OK,CalcStorm - Lincoln tests 1-1,text,true,831,1,1,146
1461320979262,145,Create Product ,200,OK,CalcStorm - Lincoln tests 1-1,text,true,694,1,1,145
1461320979908,230,Create Product Version,200,OK,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,230
1461320980639,824,Product Type Import XLSX,200,OK,CalcStorm - Lincoln tests 1-1,text,true,116702,1,1,427
1461320981964,147,Create Product Version,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1115,1,1,147
1461320982112,158,Update Product Version,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1135,1,1,158
1461320982772,226,[TEST] Get Quote - 1 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,226
1461320983503,287,[TEST] Get Quote - 2 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,287
1461320984294,323,[TEST] Get Quote - 3 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,323
1461320985120,278,[TEST] Get Quote - 4 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,278
1461320985909,290,[TEST] Get Quote - 5 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,290
1461320986703,289,[TEST] Get Quote - 6 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1546,1,1,289
1461320987496,286,[TEST] Get Quote - 7 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1539,1,1,286
1461320988285,298,[TEST] Get Quote - 8 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1539,1,1,298
1461320989087,288,[TEST] Get Quote - 9 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1525,1,1,288
1461320989880,283,[TEST] Get Quote - 10 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1537,1,1,283
1461320990666,294,[TEST] Get Quote - 11 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1546,1,1,294
1461320991463,278,[TEST] Get Quote - 12 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1539,1,1,278
